p_val,avg_log2FC,pct.1,pct.2,p_val_adj,Cell_type,GENE
0.214773248222533,0.129653492817505,0.129,0.115,1,Neurons,Bbx
0.217044259768465,0.107646409535847,0.153,0.138,1,Neurons,Magoh
0.21714407584102,0.133969078004449,0.107,0.093,1,Neurons,Arfrp1
0.21726929339841,0.139462693533412,0.12,0.107,1,Neurons,Arhgap20
0.217662612992478,-0.119181404159942,0.175,0.189,1,Neurons,Disp2
0.218792554147748,-0.135760512191547,0.142,0.156,1,Neurons,Usp8
0.219897173616593,-0.166396950754066,0.255,0.267,1,Neurons,Sbds
0.220770025454188,-0.125481767295698,0.12,0.133,1,Neurons,Sf1
0.221455950253352,-0.111490035402253,0.161,0.175,1,Neurons,Dnajb14
0.22284050752523,-0.19275318732026,0.13,0.143,1,Neurons,Smarca4
0.223041854503858,-0.193231195122242,0.135,0.148,1,Neurons,Fhad1
0.225653519646943,0.230331281534899,0.221,0.201,1,Neurons,Kcnma1
0.226290326721253,-0.138232027307494,0.442,0.453,1,Neurons,Atxn10
